root,original_path,original_name,normalized_name,proposed_display_name,proposed_safe_slug,candidate_type,confidence,review_status,reason,collision_group,slug_collision
source,/srv/daawah/media/source/shawwal/دراما حكم عقلك,دراما حكم عقلك,دراما حكم عقلك,دراما حكم عقلك,دراما-حكم-عقلك,program,high,ready,clean name,,
source,/srv/daawah/media/source/shawwal/معايشة الأنبياء,معايشة الأنبياء,معايشة الأنبياء,معايشة الأنبياء,معايشة-الأنبياء,program,high,ready,clean name,,
source,/srv/daawah/media/source/shawwal/قصة وخطوة مع د مروة إبراهيم,قصة وخطوة مع د مروة إبراهيم,قصة وخطوة مع د مروة إبراهيم,قصة وخطوة مع د مروة إبراهيم,قصة-وخطوة,needs_review,medium,ready,,,
source,/srv/daawah/media/source/shawwal/أنوار التنزيل مع الشيخ عبد الخالق الشريف,أنوار التنزيل مع الشيخ عبد الخالق الشريف,أنوار التنزيل مع الشيخ عبد الخالق الشريف,أنوار التنزيل مع الشيخ عبد الخالق الشريف,أنوار-التنزيل,needs_review,medium,ready,,,
source,/srv/daawah/media/source/shawwal/أخطاء تربوية مع ا عبده زيادة,أخطاء تربوية مع ا عبده زيادة,أخطاء تربوية مع ا عبده زيادة,أخطاء تربوية مع ا عبده زيادة,أخطاء-تربوية,needs_review,medium,ready,,,
source,/srv/daawah/media/source/shawwal/ذكرى وعبرة,ذكرى وعبرة,ذكرى وعبرة,ذكرى وعبرة,ذكرى-وعبرة,program,high,ready,clean name,,
source,/srv/daawah/media/source/shawwal/تشريف الأمة المحمدية,تشريف الأمة المحمدية,تشريف الأمة المحمدية,تشريف الأمة المحمدية,تشريف-الأمة-المحمدية,program,high,ready,clean name,,
source,/srv/daawah/media/source/shawwal/من وحي القلم,من وحي القلم,من وحي القلم,من وحي القلم,من-وحي-القلم,program,high,ready,clean name,,
source,/srv/daawah/media/source/shawwal/أنا والمحراب مع ياسر عمر,أنا والمحراب مع ياسر عمر,أنا والمحراب مع ياسر عمر,أنا والمحراب مع ياسر عمر,أنا-والمحراب,needs_review,medium,ready,,,
source,/srv/daawah/media/source/shawwal/السيرة النبويّة  ,السيرة النبويّة,السيرة النبويّة,السيرة النبويّة,السيرة-النبويّة,program,medium,ready,,,
source,/srv/daawah/media/source/shawwal/أطفال ابطال,أطفال ابطال,أطفال ابطال,أطفال ابطال,أطفال-ابطال,program,high,ready,clean name,,
source,/srv/daawah/media/source/shawwal/الشعراوي تفسير سورة الحج,الشعراوي تفسير سورة الحج,الشعراوي تفسير سورة الحج,الشعراوي تفسير سورة الحج,الشعراوي-تفسير-سورة-الحج,program,high,ready,clean name,,
